candidate_pair_id,left_source_system,left_record_id,left_business_name,right_source_system,right_record_id,right_business_name,pin_code,match_score,decision,name_score,address_score,identifier_score,phone_score,same_entity_ground_truth,explanation
PAIR-000925,SHOP,KAR-SHOP-TUM-2024-000030,M/S Kaveri Press Entp,UDYAM,UDYAM-KR-TUM-2015-000022,Kaveri Press Enterprises,572101,59,NO_MATCH,82.9,100,25,0,True,reject/no-match candidate: high name similarity (82.9); similar address/PIN (100)
PAIR-000926,GST,GST-KA-BLRU-2025-000068,Sharma Stitch Entp,FACTORY,KFBIS-FAC-BLRU-2017-000045,Sharma Stitch Enterprises,560058,59,NO_MATCH,83.7,100,25,0,True,reject/no-match candidate: high name similarity (83.7); similar address/PIN (100)
PAIR-000927,GST,GST-KA-BLRU-2025-000068,Sharma Stitch Entp,SHOP,KAR-SHOP-BLRU-2021-000063,M/S Sharma Stitch Enterprises,560058,59,NO_MATCH,83.7,100,25,0,True,reject/no-match candidate: high name similarity (83.7); similar address/PIN (100)
PAIR-000928,GST,GST-KA-MYS-2017-000104,MEGHANA MEALS INDUSTRIES,BBMP,BBMP-TL-CENT-2023-000049,Meghana Meals Inds,570001,59,NO_MATCH,85.7,100,25,0,True,reject/no-match candidate: high name similarity (85.7); similar address/PIN (100)
PAIR-000929,SHOP,KAR-SHOP-BLRU-2022-000098,Veda Wors,LABOUR,LAB-KA-BLRU-2017-000068,M/S Veda Works,560076,59,NO_MATCH,94.7,87.7,25,0,True,reject/no-match candidate: high name similarity (94.7); similar address/PIN (87.7)
PAIR-000930,BBMP,BBMP-TL-TUMA-2018-000091,M/S Aditya Labels Enterprises,GST,GST-KA-TUM-2022-000187,Aditya Labels Entp,572106|572101,59,NO_MATCH,83.7,97.2,0,100,True,reject/no-match candidate: high name similarity (83.7); similar address/PIN (97.2); no shared identifier available; same phone number
PAIR-000931,KSPCB,PCB/BLRU/CTE/2025/00114,Siddhi Packaging Entp,GST,GST-KA-BLRU-2019-000205,Siddhi Packaging Enterprises,560066,59,NO_MATCH,85.7,97.1,25,0,True,reject/no-match candidate: high name similarity (85.7); similar address/PIN (97.1)
PAIR-000932,BBMP,BBMP-TL-CENT-2023-000116,Praruthi Packaging Entp,KSPCB,PCB/MYS/CTO/2019/00126,Prakruthi Packaging Enterprises,570001,59,NO_MATCH,85.2,100,25,0,True,reject/no-match candidate: high name similarity (85.2); similar address/PIN (100)
PAIR-000933,UDYAM,UDYAM-KR-MYS-2024-000163,M/S Nisarga Circuits Enterprises,SHOP,KAR-SHOP-MYS-2018-000216,Nisarga Circuits Entp,570018,59,NO_MATCH,85.7,100,25,0,True,reject/no-match candidate: high name similarity (85.7); similar address/PIN (100)
PAIR-000934,GST,GST-KA-MYS-2025-000255,M/S Nisarga Circuits Enterprises,SHOP,KAR-SHOP-MYS-2018-000216,Nisarga Circuits Entp,570018,59,NO_MATCH,85.7,100,25,0,True,reject/no-match candidate: high name similarity (85.7); similar address/PIN (100)
